claim_id,category,claim,value,unit,scope,status,source_path,source_artifact,recomputation,public_use,caveat,verification_status,public_evidence_files
CLM-DAT-001,data,The private archive contains 238 raw option files across seven named assets.,238,files,private data inventory,source_verified_public_recompute_pending,data,directory inventory,Count root data files matching the exact regular expression ^[A-Z]+[0-9]{8}\\.csv$.,context_and_report,Three root CSV work files do not match the definition; licensed data are not published.,pass,data_coverage.csv
CLM-DAT-002,data,The private archive contains 559 auxiliary CSV files.,559,files,private data inventory,source_verified_public_recompute_pending,data,directory inventory,Recursively count auxiliary CSV files after excluding raw option files.,context_only,Coverage and provenance vary by auxiliary table.,pass,data_coverage.csv
CLM-DAT-003,data,Available raw coverage spans AAPL INTC NDX NVDA RUT SPX and SPY with irregular dates from 2024-07-01 through 2025-08-29.,7,assets,available private panels,source_verified_public_recompute_pending,data,directory inventory,Group raw filenames by ticker and compute minimum and maximum dates.,report,This is not a random or continuous historical sample.,pass,data_coverage.csv
CLM-MTH-001,mathematics,European parity regression identifies discount and forward by D=-beta and F=alpha/D from C-P=alpha+beta K.,D=-beta; F=alpha/D,formula,European expiry-level carry,implemented_code_review_pending,src/market_inputs.py; MATHEMATICAL_APPROACH_REFERENCE.md,parity carry implementation,Compare regression signs and discount conventions against synthetic parity cases.,report_and_docs,Requires common-strike call-put support and European exercise semantics.,pass,public synthetic parity check
CLM-MTH-002,mathematics,Canonical Black implied volatility uses a bracketed Brent solve with initial bounds 1e-6 and 3 controlled expansion to 5 and 8 tolerance 1e-8 and 80 iterations.,[1e-6 3] expand [5 8]; tol=1e-8; maxiter=80,solver settings,canonical IV inversion,implemented_code_review_pending,src/calculate_iv.py; src/impliedvol.py,root solver implementation,Run synthetic Black round trips across option type maturity moneyness and volatility including invalid-bound cases.,report_and_docs,American canonical calibration still uses this Black normalization.,pass,public synthetic IV check;volsurf.core.implied_vol
CLM-MTH-003,mathematics,Raw SVI models total variance as a+b[rho(k-m)+sqrt((k-m)^2+sigma_svi^2)].,raw SVI,formula,expiry-level surface fit,implemented_code_review_pending,src/fit_surface.py; MATHEMATICAL_APPROACH_REFERENCE.md,SVI objective and evaluator,Evaluate formula and gradients against finite differences and known parameter sets.,report_and_docs,Parameter and proxy constraints do not prove continuous global no-arbitrage.,pass,volsurf.surfaces.svi
CLM-MTH-004,mathematics,The promoted Jacobian-consistent weight is proportional to [vega/(2 sigma T half_spread)]^2.,[vega/(2 sigma T half_spread)]^2,weight,variance objective,implemented_code_review_pending,src/iv_fit_utils.py; config.yaml,weight construction,Numerically perturb quote price and compare induced total-variance variance with the analytic Jacobian approximation.,report_and_docs,Requires floors and guards near zero vega spread volatility or maturity.,pass,public synthetic Jacobian check
CLM-MTH-005,mathematics,Early-exercise premium is computed as a matched-input American price minus European price.,EEP=V_A-V_E,formula,American pricing book,implemented_code_review_pending,src/pricing_book.py; docs/NUMERICAL_METHOD_STACK.md,early-exercise decomposition,Reprice matched synthetic contracts with American and European exercise flags and verify EEP identity.,report_and_docs,The decomposition is numerical and model-conditional.,pass,public synthetic CRR decomposition
CLM-TAX-001,taxonomy,Pooled is reporting-only and the European calibration families are monthly_am_standard monthly_pm_standard weekly_pm_nonstandard eom_pm and quarter_end_pm.,5,atomic families,European index calibration,verified_config,src/contract_family.py; config.yaml,classifier and policy,Generate dates roots settlement flags and expiry indicators around monthly month-end and quarter-end boundaries.,report_and_docs,American routing has separately preserved semantics.,pass,contract_taxonomy.csv
CLM-SRF-001,surface research,The guarded weekly refinement changed 7 of 24 frozen asset-date slices.,7/24,asset-date slices,SPX NDX RUT weekly_pm_nonstandard 2025-08-20 to 2025-08-29,source_verified_public_recompute_pending,Results/benchmarks/frozen_2025_08_strict_policy_engine_atomic_control; Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2,basket_selection_audit/basket_selection_detail.csv,Join repaired-grid full-supported RMSE by date ticker and basket; count unique date-ticker keys with absolute difference above 1e-9.,report,Selective activation is not evidence of a global model replacement.,pass,weekly_full_chain_context.csv
CLM-SRF-002,surface research,Frozen repaired weekly mean RMSE fell from 7.4178796661 to 3.8994934737 on the liquidity basket.,7.4178796661 -> 3.8994934737,raw price RMSE,SPX NDX RUT weekly_pm_nonstandard liquidity_kbins,source_verified_public_recompute_pending,Results/benchmarks/frozen_2025_08_strict_policy_engine_atomic_control; Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2,surface_source_policy_canonical_engine_rmse_by_date.csv,Filter repaired-grid weekly_pm_nonstandard and liquidity_kbins then average RMSE over 24 asset-date rows in each panel.,report_and_figure,Raw price units differ materially across assets.,pass,weekly_context_pricing.csv
CLM-SRF-003,surface research,Frozen repaired weekly mean RMSE fell from 8.6654054814 to 3.9681363322 on the representative basket.,8.6654054814 -> 3.9681363322,raw price RMSE,SPX NDX RUT weekly_pm_nonstandard representative_stratified,source_verified_public_recompute_pending,Results/benchmarks/frozen_2025_08_strict_policy_engine_atomic_control; Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2,surface_source_policy_canonical_engine_rmse_by_date.csv,Filter repaired-grid weekly_pm_nonstandard and representative_stratified then average RMSE over 24 asset-date rows in each panel.,report_and_figure,Raw price units differ materially across assets.,pass,weekly_context_pricing.csv
CLM-SRF-004,surface research,Full-supported-chain repaired weekly mean RMSE fell from 6.3035949494 to 3.1699631679 with no losses among changed rows.,6.3035949494 -> 3.1699631679; 0 losses,raw price RMSE,SPX NDX RUT weekly_pm_nonstandard full-supported chain,source_verified_public_recompute_pending,Results/benchmarks/frozen_2025_08_strict_policy_engine_atomic_control; Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2,basket_selection_audit/basket_selection_detail.csv,Filter repaired-grid and weekly_pm_nonstandard; average full_supported_rmse_python over 48 basket rows; join controls and count positive deltas above 1e-9 among changed rows.,report_and_figure,Basket rows duplicate the same full chain across two basket modes; report denominator explicitly.,pass,weekly_full_chain_context.csv
CLM-SRF-005,surface research,Repair-aware eSSVI reruns did not support a global replacement but did produce a local monthly_pm_standard candidate.,non_promoted_global; local_candidate,decision,frozen European atomic panel,source_verified_public_recompute_pending,Results/benchmarks/frozen_2025_08_essvi_repaired_reassessment_atomic_v1,benchmark_report.md and gate summaries,Recompute paired and tail gates by atomic family with matched repair states.,report,A candidate is not a promoted canonical policy.,pass,surface_candidate_gates.csv
CLM-SRF-006,surface research,Direct-price fitting improved some quote repricing metrics but failed diagnostic or tail requirements for global promotion.,not_promoted,decision,direct-price research panels,source_verified_public_recompute_pending,Results/direct_price_research/benchmarks/spx_ndx_rut_segmented_direct_price_research; Results/direct_price_research/benchmarks/spx_ndx_rut_weekly_pm_fobj_direct_price_research,benchmark and diagnostics summaries,Recompute common-support price errors and feasibility gates for all direct-price variants.,report,Do not summarize optimization fit alone as pricing superiority.,pass,experiment_registry.csv
CLM-SRF-007,surface research,The corrected no-repair rerun is admissible and the first no-repair run is invalid due to path contamination.,norepair invalid; norepair2 admissible,validity decision,frozen benchmark research,documented_needs_adversarial_confirmation,Results/benchmarks/2025-08-20_to_2025-08-29_spx_ndx_rut_segmented_m7_gate_d_w8_p8_wmode_jacobian_consistent_norepair; Results/benchmarks/2025-08-20_to_2025-08-29_spx_ndx_rut_segmented_m7_gate_d_w8_p8_wmode_jacobian_consistent_norepair2,manifests and root-cause documentation,Compare manifest paths output hashes and repair flags; exclude the first run from numerical aggregation.,report,Publication should explain invalidation without using contaminated values.,pass,experiment_registry.csv
CLM-AUD-001,endogeneity audit,The carry audit covers 357 expiries and reports a mean cross-validation overfit ratio of 1.0429822198.,357; 1.0429822198,expiries; ratio,frozen weekly panel,source_verified_public_recompute_pending,Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2/carry_endogeneity_audit,carry_endogeneity_overall_summary.csv,Read expiry count and mean_cv_overfit_ratio from the aggregate row and recompute from expiry detail.,report_and_table,CV denotes deterministic two-fold interleaved-strike cross-validation; the ratio alone is not a causal test.,pass,carry_endogeneity_expiry.csv
CLM-AUD-002,endogeneity audit,Mean absolute log-forward shift in the carry audit is 0.0337422463 basis points.,0.0337422463,basis points,frozen weekly panel,source_verified_public_recompute_pending,Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2/carry_endogeneity_audit,carry_endogeneity_overall_summary.csv,Recompute the mean absolute log-forward difference from expiry detail using documented basis-point conversion.,report_and_table,Applies only to audited expiries and carry perturbation.,pass,carry_endogeneity_expiry.csv
CLM-AUD-003,endogeneity audit,The carry audit records zero selection flips and zero keep/drop flips under its aggregate definitions.,0; 0,rates,frozen weekly panel,source_verified_public_recompute_pending,Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2/carry_endogeneity_audit,carry_endogeneity_overall_summary.csv,Verify aggregate selection and keep/drop columns against detail rows.,report,Column semantics must be retained in the public field dictionary.,pass,carry_endogeneity_expiry.csv
CLM-AUD-004,endogeneity audit,The basket audit candidate contains 96 contexts and an average export-to-full-supported row-count ratio of 0.0598296205.,96; 0.0598296205,contexts; ratio,frozen weekly candidate,source_verified_public_recompute_pending,Results/benchmarks/frozen2025_weekly_nonstandard_wplr_dualobj_v2/basket_selection_audit,basket_selection_overall_summary.csv,Recompute count and mean export_vs_full_count_ratio from basket_selection_detail.csv.,report_and_table,Export and full-chain scores answer different sampling questions.,pass,basket_sampling_context.csv
CLM-BND-001,boundary audit,The principal adverse weekly target was not explained primarily by endpoint or extrapolation contracts.,boundary_secondary,diagnostic conclusion,NDX focused and November weekly panels,source_verified_public_recompute_pending,Results/benchmarks/ndx_weekly_influence_repro/influence_audit; Results/benchmarks/nov2024_weekly_panel_control,boundary_phase1_scorecard.md,Recompute common-support share and boundary squared-error fractions from quote-level audit outputs.,report,Boundary behavior can remain important in other regimes.,pass,boundary_target_diagnostics.csv
CLM-AMR-001,American research,American-aware normalization challengers did not justify broad replacement of baseline normalization across AAPL SPY and INTC panels.,baseline_retained,decision,saved strict American panels,source_verified_public_recompute_pending,Results/analysis/american_normalization_stage2_v1; Results/benchmarks/aapl_2024_09_amfair_strict_v2; Results/benchmarks/spy_2024_09_amfair_strict_v2; Results/benchmarks/intc_2024_07_amfair_strict_v2; Results/benchmarks/intc_2024_11_amfair_strict_v2,stage 2 and benchmark summaries,Recompute matched-support feasibility repricing and tail deltas for each normalization method and asset.,report,Evidence is limited to saved panels and canonical calibration still uses Black IV.,pass,american_normalization_summary.csv
CLM-NUM-001,numerics,CRR with 400 steps differed by at most about 0.00138 from the 3200-step CRR reference on the two SPY convergence contracts.,0.0013799298,price,SPY 2024-09-20 two-contract convergence panel,source_verified_public_recompute_pending,Results/analysis/spy_2024_09_20_pricer_convergence_v2,convergence_summary.csv,Filter engine_family=crr and resolution=400 then take max abs_to_family_reference.,report_and_figure,This is panel evidence not a universal error bound.,pass,american_pricer_convergence.csv
CLM-NUM-002,numerics,The promoted 1600 by 1600 scale-4 CN-PSOR setup differs by about 0.00524 and 0.00060 from the CRR reference prices on the two SPY convergence contracts.,0.0052406412; 0.0006049967,price,SPY 2024-09-20 two-contract convergence panel,source_verified_public_recompute_pending,Results/analysis/spy_2024_09_20_pricer_convergence_v2,convergence_summary.csv,Filter case=fd_grid_1600_scale_4p0 and compute absolute modelPrice minus crr_reference_price by contract.,report_and_figure,CRR is a high-step numerical reference here not ground truth.,pass,american_pricer_convergence.csv
CLM-CLS-001,closing panel,The closing bundle completed 48 of 48 asset-date contexts and produced 2400 valid prices out of 2400 rows.,48/48; 2400/2400,contexts; rows,six assets over eight dates,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv,Verify expected ticker-date Cartesian count and count valid rows in pricing_book.csv.,report_and_table,Completion does not imply strict deployment pass.,pass,closing_context_pricing.csv
CLM-CLS-002,closing panel,Aggregate raw-dollar pricing RMSE is 3.5121966299 MAE is 1.4620095120 and maximum absolute error is 27.7367511151.,3.5121966299; 1.4620095120; 27.7367511151,price,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; pricing_book.csv,Recompute from model minus market price over all 2400 valid rows.,report_and_table,Dollar aggregation is asset-scale dependent.,pass,closing_context_pricing.csv
CLM-CLS-003,closing panel,Quote-quality pass warning and failure rates are 0.7391666667 0.2579166667 and 0.0029166667.,0.7391666667; 0.2579166667; 0.0029166667,rates,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; pricing_quality_detail.csv,Count quote_quality status over 2400 rows and divide by denominator.,report_and_table,Threshold equality semantics matter for the seven failures.,pass,closing_context_quality.csv
CLM-CLS-004,closing panel,The closing bundle has no engine-disagreement failures and no below-intrinsic rows.,0; 0,counts,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; pricing_quality_detail.csv,Count material engine-disagreement and below-intrinsic flags.,report,Depends on current absolute and relative materiality rules.,pass,closing_context_quality.csv
CLM-CLS-005,closing panel,The 24 American contexts have complete pair coverage mean early-exercise premium 0.0042642779 and no negative-premium classification.,24; 1.0; 0.0042642779; 0.0,contexts; rate; price; rate,INTC NVDA SPY over eight dates,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; early_exercise_summary.csv,Filter American contexts; verify matched pairs and aggregate premium and negative classifications.,report_and_table,Premium is model-conditional and averaged across heterogeneous contracts.,pass,closing_early_exercise_context.csv
CLM-CLS-006,closing panel,The signal layer emits 414 rows and 61 alerts consisting of 38 review 23 watch and zero high alerts.,414; 61; 38; 23; 0,counts,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; alert_book.csv,Count signal rows and alert priorities.,report,Signals are descriptive and not validated alpha.,pass,closing_alert_counts.csv
CLM-CLS-007,closing panel,The strict deployment validator fails with one failure and two warnings because seven quotes equal the 40 percent relative-spread limit.,fail; 1; 2; 7,status; counts,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_validation.csv; pricing_quality_detail.csv,Read validation status then filter quote-quality failures and verify relative_spread equals threshold under configured comparison semantics.,report,This is a liquidity-policy failure and must not be relabeled as an engine failure.,pass,closing_failure_attribution.csv;closing_validation_checks.csv
CLM-TST-001,validation,An independent Phase 1 rerun passed all 195 Python tests.,195,tests,private frozen revision,verified_at_freeze,tests; release/volsurf-pricer/snapshot_manifest.yaml,unittest output on 2026-07-12,Run python -m unittest discover -s tests -p test_*.py from the frozen revision.,context_and_report,Passing tests do not substitute for independent model validation.,documented_not_publicly_recomputed,
CLM-TST-002,validation,An independent clean C++ configure and release build completed and CTest passed one of one tests.,1/1,tests,ProjectB_Cpp frozen revision,verified_at_freeze,ProjectB_Cpp; release/volsurf-pricer/snapshot_manifest.yaml,CMake build and CTest output on 2026-07-12,Configure in a fresh out-of-tree directory build Release and run CTest with output on failure.,context_and_report,Coverage depth is limited despite pass status.,documented_not_publicly_recomputed,
CLM-REP-001,repo research,The smoothed local-window repo branch retained high common support but worsened the aggregate repaired-grid comparison despite local context wins.,202 contexts; 0.9747524752 mean support; 80 wins,contexts; ratio; contexts,five atomic European families on the frozen August panel,public_recomputed,evidence/data/local_repo_common_support.csv,exact common-support context aggregates,"Inner-join contracts privately, export only context sufficient statistics, then count contexts and wins.",report_and_figure,Raw-price scale is asset dependent and context wins do not imply aggregate promotion.,pass,local_repo_common_support.csv
CLM-REL-001,validation,The restructured public release passed 48 Python tests and six CTest suites in its final reseal.,48; 6,tests; CTest suites,public release tree,public_recomputed,phase2_manifest.yaml,final_reseal,Read final clean-environment test counts and rerun before release.,report_and_docs,Passing software tests is not independent economic model validation.,pass,phase2_manifest.yaml
